Customer ID,Country,Description,StockCode,Invoice (F),InvoiceDate (R),Quantity,Price,TotalAmount (M),,,
16321,Australia,Paper Bunting White Lace,22087,489450,2009-01-12 10:36:00,12,2.95,27,,,
16321,Australia,Cream Felt Easter Egg Basket,85206A,489450,2009-01-12 10:36:00,6,1.65,9.9,,,
16321,Australia,Potting Shed Sow 'N' Grow Set,21895,489450,2009-01-12 10:36:00,4,4.25,17,,,
16321,Australia,Potting Shed Twine,21896,489450,2009-01-12 10:36:00,6,2.1,12.6,,R,Recency
16321,Australia,Paper Chain Kit Retro Spot,22083,489450,2009-01-12 10:36:00,12,2.95,27,,F,Frequency
16321,Australia,Save The Planet Mug,21871,489450,2009-01-12 10:36:00,12,1.25,15,,M,Monetry
16321,Australia,Antique Silver Tea Glass Etched,84946,489450,2009-01-12 10:36:00,12,1.25,15,,,
16321,Australia,Hanging Heart Zinc T-Light Holder,84970S,489450,2009-01-12 10:36:00,24,0.85,20.4,,,
16321,Australia,Paper Bunting Retro Spots,22090,489450,2009-01-12 10:36:00,12,2.95,27,,,
12362,Belgium,Postage,POST,489447,2009-01-12 10:10:00,1,130,27,,,
14564,Channel Islands,Party Cone Christmas Decoration ,22130,490145,2009-04-12 09:27:00,24,0.85,20.4,,,
14564,Channel Islands,Cake Stand Lace White,22218,490145,2009-04-12 09:27:00,6,4.25,25.5,,,
14564,Channel Islands,Cake Plate Lovebird White,22222,490145,2009-04-12 09:27:00,6,4.95,27,,,
14564,Channel Islands,Cake Stand Lovebird 2 Tier White,22220,490145,2009-04-12 09:27:00,4,9.95,27,,,
14564,Channel Islands,Cake Stand White Two Tier Lace,22215,490145,2009-04-12 09:27:00,4,8.5,27,,,
14564,Channel Islands,Cake Plate Lovebird Pink,22223,490145,2009-04-12 09:27:00,3,4.95,14.85,,,
14564,Channel Islands,Tea Bag Plate Red Spotty ,22348,490145,2009-04-12 09:27:00,12,0.85,10.2,,,
14564,Channel Islands,"Popcorn Holder , Large",22198,490145,2009-04-12 09:27:00,12,1.65,19.8,,,
14564,Channel Islands,Pack Of 72 Retro Spot Cake Cases,21212,490145,2009-04-12 09:27:00,24,0.55,13.2,,,
14564,Channel Islands,Party Cones Candy Assorted,22128,490145,2009-04-12 09:27:00,12,1.25,15,,,
14564,Channel Islands,Party Cones Carnival Assorted,22127,490145,2009-04-12 09:27:00,27,1.25,27,,,
14564,Channel Islands,Pig Keyring With Light & Sound ,22299,490145,2009-04-12 09:27:00,24,1.25,27,,,
14564,Channel Islands,Frosted Box 9 White T-Light Candles,72008,490145,2009-04-12 09:27:00,12,0.42,5.04,,,
14564,Channel Islands,Assorted Colour Bird Ornament,84879,490145,2009-04-12 09:27:00,16,1.69,27,,,
14564,Channel Islands,Multi Colour Silver T-Light Holder,84945,490145,2009-04-12 09:27:00,12,0.85,10.2,,,
14564,Channel Islands,Red Spotty Coir Doormat,20685,490145,2009-04-12 09:27:00,6,6.75,27,,,
14564,Channel Islands,Mirror Mosaic T-Light Holder ,22102,490145,2009-04-12 09:27:00,6,1.65,9.9,,,
14564,Channel Islands,Assorted Tutti Frutti Keyring,21639,490145,2009-04-12 09:27:00,24,0.85,20.4,,,
14564,Channel Islands,Assorted Tutti Frutti Large Purse,21647,490145,2009-04-12 09:27:00,24,2.1,27,,,
14564,Channel Islands,Two Door Curio Cabinet,21735,490145,2009-04-12 09:27:00,2,12.75,25.5,,,
14564,Channel Islands,Union Jack Guns & Roses  Doormat,21955,490145,2009-04-12 09:27:00,4,6.75,27,,,
14564,Channel Islands,Baking Set 9 Piece Retrospot ,22138,490145,2009-04-12 09:27:00,6,4.95,27,,,
